x,y,h
-1,-1,0
-1,-0.99,0
-1,-0.98,0
-1,-0.97,0
-1,-0.96,0
-1,-0.95,0
-1,-0.94,0
-1,-0.93,0
-1,-0.92,0
-1,-0.91,0
-1,-0.9,0
-1,-0.89,0
-1,-0.88,0
-1,-0.87,0
-1,-0.86,0
-1,-0.85,0
-1,-0.84,0
-1,-0.83,0
-1,-0.82,0
-1,-0.81,0
-1,-0.8,0
-1,-0.79,0
-1,-0.78,0
-1,-0.77,0
-1,-0.76,0
-1,-0.75,0
-1,-0.74,0.002
-1,-0.73,0
-1,-0.72,0.002
-1,-0.71,0
-1,-0.7,0.002
-1,-0.69,0
-1,-0.68,0.002
-1,-0.67,0.004
-1,-0.66,0.002
-1,-0.65,0.006
-1,-0.64,0.002
-1,-0.63,0.006
-1,-0.62,0.004
-1,-0.61,0.004
-1,-0.6,0.008
-1,-0.59,0.01
-1,-0.58,0.012
-1,-0.57,0.002
-1,-0.56,0.012
-1,-0.55,0.012
-1,-0.54,0.01
-1,-0.53,0.022
-1,-0.52,0.018
-1,-0.51,0.01
-1,-0.5,0.024
-1,-0.49,0.024
-1,-0.48,0.018
-1,-0.47,0.016
-1,-0.46,0.024
-1,-0.45,0.022
-1,-0.44,0.034
-1,-0.43,0.028
-1,-0.42,0.042
-1,-0.41,0.038
-1,-0.4,0.048
-1,-0.39,0.06
-1,-0.38,0.052
-1,-0.37,0.06
-1,-0.36,0.058
-1,-0.35,0.054
-1,-0.34,0.056
-1,-0.33,0.086
-1,-0.32,0.11
-1,-0.31,0.094
-1,-0.3,0.1
-1,-0.29,0.108
-1,-0.28,0.096
-1,-0.27,0.104
-1,-0.26,0.144
-1,-0.25,0.15
-1,-0.24,0.122
-1,-0.23,0.146
-1,-0.22,0.156
-1,-0.21,0.2
-1,-0.2,0.2
-1,-0.19,0.228
-1,-0.18,0.218
-1,-0.17,0.256
-1,-0.16,0.302
-1,-0.15,0.31
-1,-0.14,0.32
-1,-0.13,0.37
-1,-0.12,0.43
-1,-0.11,0.484
-1,-0.1,0.47
-1,-0.09,0.536
-1,-0.08,0.58
-1,-0.07,0.584
-1,-0.06,0.59
-1,-0.05,0.708
-1,-0.04,0.758
-1,-0.03,0.898
-1,-0.02,0.918
-1,-0.01,0.924
-1,0,1
-1,0.01,1.004
-1,0.02,0.926
-1,0.03,0.818
-1,0.04,0.768
-1,0.05,0.678
-1,0.06,0.686
-1,0.07,0.624
-1,0.08,0.576
-1,0.09,0.508
-1,0.1,0.46
-1,0.11,0.454
-1,0.12,0.422
-1,0.13,0.336
-1,0.14,0.318
-1,0.15,0.33
-1,0.16,0.264
-1,0.17,0.254
-1,0.18,0.25
-1,0.19,0.262
-1,0.2,0.186
-1,0.21,0.198
-1,0.22,0.188
-1,0.23,0.144
-1,0.24,0.11
-1,0.25,0.112
-1,0.26,0.102
-1,0.27,0.11
-1,0.28,0.118
-1,0.29,0.104
-1,0.3,0.104
-1,0.31,0.07
-1,0.32,0.076
-1,0.33,0.076
-1,0.34,0.08
-1,0.35,0.062
-1,0.36,0.042
-1,0.37,0.056
-1,0.38,0.038
-1,0.39,0.036
-1,0.4,0.044
-1,0.41,0.032
-1,0.42,0.042
-1,0.43,0.028
-1,0.44,0.016
-1,0.45,0.01
-1,0.46,0.03
-1,0.47,0.026
-1,0.48,0.018
-1,0.49,0.022
-1,0.5,0.018
-1,0.51,0.022
-1,0.52,0.018
-1,0.53,0.012
-1,0.54,0.004
-1,0.55,0.006
-1,0.56,0.006
-1,0.57,0.008
-1,0.58,0.012
-1,0.59,0.006
-1,0.6,0.006
-1,0.61,0.004
-1,0.62,0.004
-1,0.63,0.002
-1,0.64,0.002
-1,0.65,0.006
-1,0.66,0.004
-1,0.67,0.002
-1,0.68,0
-1,0.69,0
-1,0.7,0
-1,0.71,0
-1,0.72,0
-1,0.73,0
-1,0.74,0
-1,0.75,0
-1,0.76,0.002
-1,0.77,0
-1,0.78,0
-1,0.79,0
-1,0.8,0
-1,0.81,0
-1,0.82,0
-1,0.83,0
-1,0.84,0
-1,0.85,0
-1,0.86,0
-1,0.87,0
-1,0.88,0
-1,0.89,0
-1,0.9,0
-1,0.91,0
-1,0.92,0
-1,0.93,0
-1,0.94,0
-1,0.95,0
-1,0.96,0
-1,0.97,0
-1,0.98,0
-1,0.99,0
-1,1,0
-0.99,-1,0
-0.99,-0.99,0
-0.99,-0.98,0
-0.99,-0.97,0
-0.99,-0.96,0
-0.99,-0.95,0
-0.99,-0.94,0
-0.99,-0.93,0
-0.99,-0.92,0
-0.99,-0.91,0
-0.99,-0.9,0
-0.99,-0.89,0
-0.99,-0.88,0
-0.99,-0.87,0
-0.99,-0.86,0
-0.99,-0.85,0
-0.99,-0.84,0
-0.99,-0.83,0
-0.99,-0.82,0
-0.99,-0.81,0
-0.99,-0.8,0.002
-0.99,-0.79,0
-0.99,-0.78,0
-0.99,-0.77,0
-0.99,-0.76,0.004
-0.99,-0.75,0
-0.99,-0.74,0
-0.99,-0.73,0
-0.99,-0.72,0
-0.99,-0.71,0
-0.99,-0.7,0.002
-0.99,-0.69,0
-0.99,-0.68,0
-0.99,-0.67,0.002
-0.99,-0.66,0
-0.99,-0.65,0
-0.99,-0.64,0.012
-0.99,-0.63,0.002
-0.99,-0.62,0.002
-0.99,-0.61,0.008
-0.99,-0.6,0.014
-0.99,-0.59,0.006
-0.99,-0.58,0.01
-0.99,-0.57,0.006
-0.99,-0.56,0.008
-0.99,-0.55,0.008
-0.99,-0.54,0.008
-0.99,-0.53,0.008
-0.99,-0.52,0.018
-0.99,-0.51,0.01
-0.99,-0.5,0.028
-0.99,-0.49,0.03
-0.99,-0.48,0.016
-0.99,-0.47,0.026
