x,y,h
-1,-1,-1
-1,-0.99,-1
-1,-0.98,-1
-1,-0.97,-1
-1,-0.96,-1
-1,-0.95,-1
-1,-0.94,-1
-1,-0.93,-1
-1,-0.92,-1
-1,-0.91,-1
-1,-0.9,-1
-1,-0.89,-1
-1,-0.88,-1
-1,-0.87,-1
-1,-0.86,-1
-1,-0.85,-1
-1,-0.84,-1
-1,-0.83,-1
-1,-0.82,-1
-1,-0.81,-1
-1,-0.8,-1
-1,-0.79,-1
-1,-0.78,-1
-1,-0.77,-1
-1,-0.76,-1
-1,-0.75,-1
-1,-0.74,-0.998
-1,-0.73,-1
-1,-0.72,-0.998
-1,-0.71,-1
-1,-0.7,-0.998
-1,-0.69,-1
-1,-0.68,-0.998
-1,-0.67,-0.996
-1,-0.66,-0.998
-1,-0.65,-0.994
-1,-0.64,-0.998
-1,-0.63,-0.994
-1,-0.62,-0.996
-1,-0.61,-0.996
-1,-0.6,-0.992
-1,-0.59,-0.99
-1,-0.58,-0.988
-1,-0.57,-0.998
-1,-0.56,-0.988
-1,-0.55,-0.988
-1,-0.54,-0.99
-1,-0.53,-0.978
-1,-0.52,-0.982
-1,-0.51,-0.99
-1,-0.5,-0.976
-1,-0.49,-0.976
-1,-0.48,-0.982
-1,-0.47,-0.984
-1,-0.46,-0.976
-1,-0.45,-0.978
-1,-0.44,-0.966
-1,-0.43,-0.972
-1,-0.42,-0.958
-1,-0.41,-0.962
-1,-0.4,-0.952
-1,-0.39,-0.94
-1,-0.38,-0.948
-1,-0.37,-0.94
-1,-0.36,-0.942
-1,-0.35,-0.946
-1,-0.34,-0.944
-1,-0.33,-0.914
-1,-0.32,-0.89
-1,-0.31,-0.906
-1,-0.3,-0.9
-1,-0.29,-0.892
-1,-0.28,-0.904
-1,-0.27,-0.896
-1,-0.26,-0.856
-1,-0.25,-0.85
-1,-0.24,-0.878
-1,-0.23,-0.854
-1,-0.22,-0.844
-1,-0.21,-0.8
-1,-0.2,-0.8
-1,-0.19,-0.772
-1,-0.18,-0.782
-1,-0.17,-0.744
-1,-0.16,-0.698
-1,-0.15,-0.69
-1,-0.14,-0.68
-1,-0.13,-0.63
-1,-0.12,-0.57
-1,-0.11,-0.516
-1,-0.1,-0.53
-1,-0.09,-0.464
-1,-0.08,-0.42
-1,-0.07,-0.416
-1,-0.06,-0.41
-1,-0.05,-0.292
-1,-0.04,-0.242
-1,-0.03,-0.102
-1,-0.02,-0.082
-1,-0.01,-0.076
-1,0,0
-1,0.01,-0.004
-1,0.02,0.074
-1,0.03,0.182
-1,0.04,0.232
-1,0.05,0.322
-1,0.06,0.314
-1,0.07,0.376
-1,0.08,0.424
-1,0.09,0.492
-1,0.1,0.54
-1,0.11,0.546
-1,0.12,0.578
-1,0.13,0.664
-1,0.14,0.682
-1,0.15,0.67
-1,0.16,0.736
-1,0.17,0.746
-1,0.18,0.75
-1,0.19,0.738
-1,0.2,0.814
-1,0.21,0.802
-1,0.22,0.812
-1,0.23,0.856
-1,0.24,0.89
-1,0.25,0.888
-1,0.26,0.898
-1,0.27,0.89
-1,0.28,0.882
-1,0.29,0.896
-1,0.3,0.896
-1,0.31,0.93
-1,0.32,0.924
-1,0.33,0.924
-1,0.34,0.92
-1,0.35,0.938
-1,0.36,0.958
-1,0.37,0.944
-1,0.38,0.962
-1,0.39,0.964
-1,0.4,0.956
-1,0.41,0.968
-1,0.42,0.958
-1,0.43,0.972
-1,0.44,0.984
-1,0.45,0.99
-1,0.46,0.97
-1,0.47,0.974
-1,0.48,0.982
-1,0.49,0.978
-1,0.5,0.982
-1,0.51,0.978
-1,0.52,0.982
-1,0.53,0.988
-1,0.54,0.996
-1,0.55,0.994
-1,0.56,0.994
-1,0.57,0.992
-1,0.58,0.988
-1,0.59,0.994
-1,0.6,0.994
-1,0.61,0.996
-1,0.62,0.996
-1,0.63,0.998
-1,0.64,0.998
-1,0.65,0.994
-1,0.66,0.996
-1,0.67,0.998
-1,0.68,1
-1,0.69,1
-1,0.7,1
-1,0.71,1
-1,0.72,1
-1,0.73,1
-1,0.74,1
-1,0.75,1
-1,0.76,0.998
-1,0.77,1
-1,0.78,1
-1,0.79,1
-1,0.8,1
-1,0.81,1
-1,0.82,1
-1,0.83,1
-1,0.84,1
-1,0.85,1
-1,0.86,1
-1,0.87,1
-1,0.88,1
-1,0.89,1
-1,0.9,1
-1,0.91,1
-1,0.92,1
-1,0.93,1
-1,0.94,1
-1,0.95,1
-1,0.96,1
-1,0.97,1
-1,0.98,1
-1,0.99,1
-1,1,1
-0.99,-1,-1
-0.99,-0.99,-1
-0.99,-0.98,-1
-0.99,-0.97,-1
-0.99,-0.96,-1
-0.99,-0.95,-1
-0.99,-0.94,-1
-0.99,-0.93,-1
-0.99,-0.92,-1
-0.99,-0.91,-1
-0.99,-0.9,-1
-0.99,-0.89,-1
-0.99,-0.88,-1
-0.99,-0.87,-1
-0.99,-0.86,-1
-0.99,-0.85,-1
-0.99,-0.84,-1
-0.99,-0.83,-1
-0.99,-0.82,-1
-0.99,-0.81,-1
-0.99,-0.8,-0.998
-0.99,-0.79,-1
-0.99,-0.78,-1
-0.99,-0.77,-1
-0.99,-0.76,-0.996
-0.99,-0.75,-1
-0.99,-0.74,-1
-0.99,-0.73,-1
-0.99,-0.72,-1
-0.99,-0.71,-1
-0.99,-0.7,-0.998
-0.99,-0.69,-1
-0.99,-0.68,-1
-0.99,-0.67,-0.998
-0.99,-0.66,-1
-0.99,-0.65,-1
-0.99,-0.64,-0.988
-0.99,-0.63,-0.998
-0.99,-0.62,-0.998
-0.99,-0.61,-0.992
-0.99,-0.6,-0.986
-0.99,-0.59,-0.994
-0.99,-0.58,-0.99
-0.99,-0.57,-0.994
-0.99,-0.56,-0.992
-0.99,-0.55,-0.992
-0.99,-0.54,-0.992
-0.99,-0.53,-0.992
-0.99,-0.52,-0.982
-0.99,-0.51,-0.99
-0.99,-0.5,-0.972
-0.99,-0.49,-0.97
-0.99,-0.48,-0.984
-0.99,-0.47,-0.974
-0.99,-0.46,-0.982
-0.99,-0.45,-0.954
-0.99,-0.44,-0.96
-0.99,-0.43,-0.96
-0.99,-0.42,-0.94
-0.99,-0.41,-0.952
-0.99,-0.4,-0.94
-0.99,-0.39,-0.958
-0.99,-0.38,-0.954
-0.99,-0.37,-0.938
-0.99,-0.36,-0.91
-0.99,-0.35,-0.902
-0.99,-0.34,-0.932
-0.99,-0.33,-0.926
-0.99,-0.32,-0.91
-0.99,-0.31,-0.882
-0.99,-0.3,-0.894
-0.99,-0.29,-0.87
-0.99,-0.28,-0.854
-0.99,-0.27,-0.878
-0.99,-0.26,-0.848
-0.99,-0.25,-0.85
-0.99,-0.24,-0.824
-0.99,-0.23,-0.848
-0.99,-0.22,-0.824
-0.99,-0.21,-0.818
-0.99,-0.2,-0.812
-0.99,-0.19,-0.786
-0.99,-0.18,-0.742
-0.99,-0.17,-0.712
-0.99,-0.16,-0.74
-0.99,-0.15,-0.68
-0.99,-0.14,-0.62
-0.99,-0.13,-0.578
-0.99,-0.12,-0.606
-0.99,-0.11,-0.564
-0.99,-0.1,-0.538
-0.99,-0.09,-0.488
-0.99,-0.08,-0.398
-0.99,-0.07,-0.434
-0.99,-0.06,-0.308
-0.99,-0.05,-0.29
-0.99,-0.04,-0.25
-0.99,-0.03,-0.104
-0.99,-0.02,-0.144
